"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.413970500E0	6.014802700E0	-2.593496952E1	1.197280204E1	2.919158242E1
2.423942500E0	5.788875643E0	-2.435082548E1	1.278605033E1	2.810617131E1
2.433914500E0	4.181272577E0	-2.268854627E1	1.536166346E1	2.771703224E1
2.443885500E0	2.779804328E0	-2.104370346E1	1.902304372E1	2.850334997E1
2.453857500E0	2.638862457E0	-1.994331828E1	2.104397009E1	2.911268136E1
2.463829500E0	2.116120209E0	-1.834269094E1	2.345864328E1	2.985364668E1
2.473801500E0	3.197386158E-1	-1.475376938E1	2.820145087E1	3.182919690E1
2.483773500E0	-3.918532619E0	-9.706696072E0	3.605250733E1	3.754141888E1
2.493744500E0	-9.787937286E0	-3.088380902E0	4.227545805E1	4.350351901E1
2.503716500E0	-1.267979941E1	3.347782099E0	4.373790281E1	4.566168088E1
2.513689375E0	-1.331231845E1	7.594185934E0	4.088625316E1	4.366434679E1
2.523661375E0	-1.012040061E1	1.189039489E1	3.745283596E1	4.057732027E1
2.533633375E0	-6.974622565E0	1.306479061E1	3.852849443E1	4.127685788E1
2.543604375E0	-2.763852247E0	1.197753711E1	4.267583327E1	4.441088853E1
2.553576375E0	2.240798049E0	1.032705525E1	4.455635396E1	4.579233478E1
2.563548375E0	5.421235467E0	9.491569991E0	4.311780325E1	4.448173392E1
2.573520375E0	6.032440242E0	9.638970112E0	3.923932874E1	4.085370240E1
2.583492375E0	3.935278460E0	1.017587899E1	3.487597270E1	3.654269286E1
2.593464375E0	9.710118008E-1	1.025500703E1	3.109088056E1	3.275287601E1
2.603435375E0	-5.844704273E-1	8.716343216E0	2.820672974E1	2.952855986E1
2.613407375E0	-1.551524467E0	6.473664703E0	2.654803370E1	2.736994075E1
2.623379375E0	-3.671499453E0	3.376595131E0	2.546273201E1	2.594671509E1
2.633351375E0	-6.078699903E0	4.175172177E-1	2.416815612E1	2.492437930E1
2.643323375E0	-8.309116221E0	-1.160652426E0	2.263793043E1	2.414258521E1
2.653294375E0	-9.850794854E0	-1.910204954E0	2.035644278E1	2.269519343E1
2.663266375E0	-1.108161621E1	-2.042517504E0	1.702273463E1	2.041439664E1
2.673238375E0	-1.202989776E1	-1.183793660E0	1.299877906E1	1.775072011E1
2.683210375E0	-1.254805696E1	3.960257766E-1	8.906709262E0	1.539285678E1
2.693182375E0	-1.284526392E1	1.691764672E0	5.501951602E0	1.407602018E1
2.703153375E0	-1.257501146E1	2.681069122E0	2.900027175E0	1.318063740E1
2.713125375E0	-1.139570174E1	3.432707936E0	1.414420416E0	1.198524455E1
2.723097375E0	-1.063224365E1	3.431232976E0	4.464156193E-1	1.118111138E1
2.733069375E0	-9.997980967E0	3.177495684E0	-2.816989696E-1	1.049454413E1
2.743041375E0	-9.966734616E0	2.764694538E0	-7.373531896E-1	1.036933096E1
2.753012375E0	-9.611676478E0	1.990778124E0	-1.702810355E0	9.962283140E0
2.762984375E0	-8.779976710E0	1.559692150E-1	-3.334212173E0	9.393044674E0
2.772956375E0	-8.449459337E0	-2.279446975E0	-4.086163521E0	9.658466437E0
2.782928375E0	-9.554452702E0	-4.914808120E0	-3.757641218E0	1.138256442E1
2.792900375E0	-1.106848453E1	-7.787705383E0	-3.881071848E0	1.407914854E1
2.802871375E0	-1.209479367E1	-1.013361766E1	-4.065183712E0	1.629416949E1
2.812843375E0	-1.411662168E1	-1.150109663E1	-3.338038591E0	1.851206992E1
2.822815375E0	-1.602618899E1	-1.233132641E1	-2.782378857E0	2.041180974E1
2.832787375E0	-1.685340979E1	-1.355406808E1	-2.707083092E0	2.179629514E1
2.842759375E0	-1.761744558E1	-1.566664019E1	-2.359031088E0	2.369352299E1
2.852730375E0	-1.783727516E1	-1.800479321E1	-1.886115303E0	2.541453118E1
2.862702375E0	-1.691708831E1	-2.028201240E1	-2.389675176E-1	2.641221326E1
2.872674375E0	-1.447432860E1	-2.236918538E1	2.476656602E0	2.675855884E1
2.882646375E0	-1.133007142E1	-2.364599743E1	5.501258122E0	2.679118425E1
2.892618375E0	-1.031170748E1	-2.385327420E1	9.708270727E0	2.774095387E1
2.902589375E0	-9.690941334E0	-2.259300277E1	1.278956685E1	2.771157047E1
2.912561375E0	-8.818472439E0	-2.122840530E1	1.276481091E1	2.629355521E1
2.922533375E0	-8.869234457E0	-2.099021313E1	9.835673954E0	2.481920323E1
2.932505375E0	-7.480963374E0	-2.076029827E1	5.510201438E0	2.274460633E1
2.942477375E0	-5.251817071E0	-2.061171818E1	1.326522732E0	2.131159711E1
2.952448375E0	-3.634204449E0	-2.063172735E1	-2.172963331E0	2.106175171E1
2.962420375E0	-2.990402910E0	-2.021698435E1	-5.076658464E0	2.105804898E1
2.972392375E0	-3.414027544E0	-1.982892335E1	-6.975431235E0	2.129550249E1
2.982364375E0	-4.349303136E0	-1.937603077E1	-8.158363892E0	2.146871928E1
2.992336375E0	-5.965649251E0	-1.869307014E1	-8.734037476E0	2.147797134E1
3.002307375E0	-7.858196492E0	-1.784447192E1	-8.725364885E0	2.136137689E1
3.012279375E0	-8.857319001E0	-1.692089836E1	-8.881672069E0	2.106307195E1
3.022251375E0	-8.965610020E0	-1.638187278E1	-9.554607654E0	2.097709337E1
3.032223375E0	-8.775036982E0	-1.575850931E1	-9.822317744E0	2.053800904E1
3.042195375E0	-8.391346784E0	-1.486779242E1	-9.945613303E0	1.975806611E1
3.052166375E0	-7.451456569E0	-1.402372813E1	-9.774833091E0	1.864769470E1
3.062138375E0	-6.492579861E0	-1.338896142E1	-9.145500194E0	1.746591122E1
3.072110375E0	-6.116165353E0	-1.260968428E1	-8.818785850E0	1.655846007E1
3.082082375E0	-6.151233444E0	-1.175440035E1	-8.751774420E0	1.589330538E1
3.092054375E0	-7.068629420E0	-1.089190563E1	-8.297790164E0	1.540949226E1
3.102025375E0	-7.864623751E0	-9.915072126E0	-7.093743212E0	1.450800313E1
3.111997375E0	-8.594988348E0	-9.328677088E0	-5.152213846E0	1.369099516E1
3.121969375E0	-8.017418513E0	-8.915498797E0	-2.908823726E0	1.233800526E1
3.131941375E0	-7.161344626E0	-8.833812609E0	-1.228264951E0	1.143808274E1
3.141913375E0	-6.906759195E0	-8.353513545E0	1.002820873E-1	1.083949111E1
3.151884375E0	-6.419734663E0	-8.113490605E0	1.730693972E-1	1.034754444E1
